Study date,Year,Project,OBJECTID,Intersection,File Name
2017-08-09,2017,Turning Movement Count,8848,W 1ST AV AND ONTARIO ST,ENG - TDM - TURNING MOVEMENT COUNT - ONTARIO ST & E 1ST AV - 2017-08-09
2017-02-21,2017,Turning Movement Count,8849,MACKENZIE ST AND W BROADWAY,ENG - TDM - TURNING MOVEMENT COUNT - MACKENZIE ST & W BROADWAY - 2017-02-21
2017-10-24,2017,Turning Movement Count,8850,E 4TH AV AND W 4TH AV,ENG - TDM - TURNING MOVEMENT COUNT - ONTARIO ST & E 4TH AV - 2017-10-24
2017-10-24,2017,Turning Movement Count,8851,ONTARIO ST AND E 6TH AV,ENG - TDM - TURNING MOVEMENT COUNT - ONTARIO ST & E 6TH AV - 2017-10-24
2017-08-31,2017,Turning Movement Count,8852,E 12TH AV AND MAIN ST,ENG - TDM - TURNING MOVEMENT COUNT - MAIN ST & E 12TH AV - 2017-08-31
2017-05-03,2017,Turning Movement Count,8853,ABBOTT ST AND W HASTINGS ST,ENG - TDM - TURNING MOVEMENT COUNT - ABBOTT ST & W HASTINGS ST - 2017-05-03
2017-01-10,2017,Turning Movement Count,8854,ABBOTT ST AND W PENDER ST,ENG - TDM - TURNING MOVEMENT COUNT - ABBOTT ST & W PENDER ST - 2017-01-10
2017-04-12,2017,Turning Movement Count,8855,ABBOTT ST AND W PENDER ST,ENG - TDM - TURNING MOVEMENT COUNT - ABBOTT ST & W PENDER ST - 2017-04-12
2017-03-08,2017,Turning Movement Count,8857,W BROADWAY AND ALBERTA ST,ENG - TDM - TURNING MOVEMENT COUNT - ALBERTA ST & W BROADWAY - 2017-03-08
2017-07-25,2017,Turning Movement Count,8858,ALDER ST AND W 10TH AV,ENG - TDM - TURNING MOVEMENT COUNT - ALDER ST & W 10TH AV - 2017-07-25
2017-07-26,2017,Turning Movement Count,8859,W 11TH AV AND ALDER ST,ENG - TDM - TURNING MOVEMENT COUNT - ALDER ST & W 11TH AV - 2017-07-26
2017-07-26,2017,Turning Movement Count,8860,ALDER ST AND W 13TH AV,ENG - TDM - TURNING MOVEMENT COUNT - ALDER ST & W 13TH AV - 2017-07-26
2017-07-26,2017,Turning Movement Count,8861,ALDER ST AND W 14TH AV,ENG - TDM - TURNING MOVEMENT COUNT - ALDER ST & W 14TH AV - 2017-07-26
2017-01-10,2017,Turning Movement Count,8862,W 6TH AV AND ALDER ST,ENG - TDM - TURNING MOVEMENT COUNT - ALDER ST & W 6TH AV - 2017-01-10
2017-08-01,2017,Turning Movement Count,8863,E 14TH AV AND MAIN ST,ENG - TDM - TURNING MOVEMENT COUNT - MAIN ST & E 14TH AV - 2017-08-01
