AT_STREET;ON_STREET;XSTREET;Geom;Geo Local Area;geo_point_2d
233;804;DUMFRIES ST AND E 54TH AV;"{""coordinates"": [-123.0747244027465, 49.22040723071889], ""type"": ""Point""}";Victoria-Fraserview;49.22040723071889, -123.0747244027465
212;810;PRINCE ALBERT ST AND E 57TH AV;"{""coordinates"": [-123.08780176729636, 49.218225888000404], ""type"": ""Point""}";Sunset;49.218225888000404, -123.08780176729636
250;730;VICTORIA DRIVE AND E 33RD AV;"{""coordinates"": [-123.06532998423789, 49.24002884637531], ""type"": ""Point""}";Kensington-Cedar Cottage;49.24002884637531, -123.06532998423789
280;723;CHEYENNE AV AND EARLES ST;"{""coordinates"": [-123.0461487617132, 49.2404284224584], ""type"": ""Point""}";Renfrew-Collingwood;49.2404284224584, -123.0461487617132
195;801;E 53RD AV AND SOPHIA ST;"{""coordinates"": [-123.09970181516908, 49.221915104355084], ""type"": ""Point""}";Sunset;49.221915104355084, -123.09970181516908
197;803;E 54TH AV AND PRINCE EDWARD ST;"{""coordinates"": [-123.09764549919463, 49.22096868728244], ""type"": ""Point""}";Sunset;49.22096868728244, -123.09764549919463
237;799;E 53RD AV AND ARGYLE ST;"{""coordinates"": [-123.07190497036214, 49.22174282999371], ""type"": ""Point""}";Victoria-Fraserview;49.22174282999371, -123.07190497036214
236;799;E 53RD AV AND FLEMING ST;"{""coordinates"": [-123.07328799718147, 49.221754311324], ""type"": ""Point""}";Victoria-Fraserview;49.221754311324, -123.07328799718147
233;799;DUMFRIES ST AND E 53RD AV;"{""coordinates"": [-123.07466882737012, 49.22176579550624], ""type"": ""Point""}";Victoria-Fraserview;49.22176579550624, -123.07466882737012
231;799;E 53RD AV AND LANARK ST;"{""coordinates"": [-123.0760461637313, 49.22178213192394], ""type"": ""Point""}";Victoria-Fraserview;49.22178213192394, -123.0760461637313
230;799;KNIGHT ST AND E 53RD AV;"{""coordinates"": [-123.07742285412472, 49.221797552825045], ""type"": ""Point""}";Sunset;49.221797552825045, -123.07742285412472
274;646;PENTICTON ST AND E 7TH AV;"{""coordinates"": [-123.05217422197147, 49.26387442365618], ""type"": ""Point""}";Hastings-Sunrise;49.26387442365618, -123.05217422197147
267;646;GARDEN DRIVE AND E 7TH AV;"{""coordinates"": [-123.05812327052395, 49.26408639858407], ""type"": ""Point""}";Grandview-Woodland;49.26408639858407, -123.05812327052395
