Geom,INTERSECTION,URL,Sub_URL
"{""coordinates"": [-123.215211467428, 49.2639242035281], ""type"": ""Point""}",BLANCA ST AND W 10TH AV,https://app.vancouver.ca/vanmapmtc_net/#020670,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2007/0020670.htm
"{""coordinates"": [-123.215211467428, 49.2639242035281], ""type"": ""Point""}",BLANCA ST AND W 10TH AV,https://app.vancouver.ca/vanmapmtc_net/#020670,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2005/0020670.htm
"{""coordinates"": [-123.215211467428, 49.2639242035281], ""type"": ""Point""}",BLANCA ST AND W 10TH AV,https://app.vancouver.ca/vanmapmtc_net/#020670,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2003/0020670.htm
"{""coordinates"": [-123.215211467428, 49.2639242035281], ""type"": ""Point""}",BLANCA ST AND W 10TH AV,https://app.vancouver.ca/vanmapmtc_net/#020670,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2001/0020670.htm
"{""coordinates"": [-123.215211467428, 49.2639242035281], ""type"": ""Point""}",BLANCA ST AND W 10TH AV,https://app.vancouver.ca/vanmapmtc_net/#020670,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2000/0020670.htm
"{""coordinates"": [-123.215211467428, 49.2639242035281], ""type"": ""Point""}",BLANCA ST AND W 10TH AV,https://app.vancouver.ca/vanmapmtc_net/#020670,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1998/0020670.htm
"{""coordinates"": [-123.215211467428, 49.2639242035281], ""type"": ""Point""}",BLANCA ST AND W 10TH AV,https://app.vancouver.ca/vanmapmtc_net/#020670,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1996/0020670.htm
"{""coordinates"": [-123.199467652982, 49.268855855787], ""type"": ""Point""}",NW MARINE DRIVE AND W 4TH AV,https://app.vancouver.ca/vanmapmtc_net/#030640,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2007/0030640.htm
"{""coordinates"": [-123.185566322964, 49.2722682187729], ""type"": ""Point""}",ALMA ST AND POINT GREY ROAD,https://app.vancouver.ca/vanmapmtc_net/#040630,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2008/0040630.htm
"{""coordinates"": [-123.185566322964, 49.2722682187729], ""type"": ""Point""}",ALMA ST AND POINT GREY ROAD,https://app.vancouver.ca/vanmapmtc_net/#040630,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2006/0040630.htm
"{""coordinates"": [-123.185566322964, 49.2722682187729], ""type"": ""Point""}",ALMA ST AND POINT GREY ROAD,https://app.vancouver.ca/vanmapmtc_net/#040630,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2004/0040630.htm
"{""coordinates"": [-123.185566322964, 49.2722682187729], ""type"": ""Point""}",ALMA ST AND POINT GREY ROAD,https://app.vancouver.ca/vanmapmtc_net/#040630,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2003/0040630.htm
"{""coordinates"": [-123.185566322964, 49.2722682187729], ""type"": ""Point""}",ALMA ST AND POINT GREY ROAD,https://app.vancouver.ca/vanmapmtc_net/#040630,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1996/0040630.htm
"{""coordinates"": [-123.185856787137, 49.2643642594489], ""type"": ""Point""}",ALMA ST AND W BROADWAY,https://app.vancouver.ca/vanmapmtc_net/#040650,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2007/0040650.htm
"{""coordinates"": [-123.185856787137, 49.2643642594489], ""type"": ""Point""}",ALMA ST AND W BROADWAY,https://app.vancouver.ca/vanmapmtc_net/#040650,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2005/0040650.htm
"{""coordinates"": [-123.185856787137, 49.2643642594489], ""type"": ""Point""}",ALMA ST AND W BROADWAY,https://app.vancouver.ca/vanmapmtc_net/#040650,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2002/0040650.htm
"{""coordinates"": [-123.185856787137, 49.2643642594489], ""type"": ""Point""}",ALMA ST AND W BROADWAY,https://app.vancouver.ca/vanmapmtc_net/#040650,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1998/0040650.htm
"{""coordinates"": [-123.185856787137, 49.2643642594489], ""type"": ""Point""}",ALMA ST AND W BROADWAY,https://app.vancouver.ca/vanmapmtc_net/#040650,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1996/0040650.htm
"{""coordinates"": [-123.185339038674, 49.2347662583104], ""type"": ""Point""}",DUNBAR ST AND W 41ST AV,https://app.vancouver.ca/vanmapmtc_net/#040750,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2005/0040750.htm
"{""coordinates"": [-123.185339038674, 49.2347662583104], ""type"": ""Point""}",DUNBAR ST AND W 41ST AV,https://app.vancouver.ca/vanmapmtc_net/#040750,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2003/0040750.htm
"{""coordinates"": [-123.185339038674, 49.2347662583104], ""type"": ""Point""}",DUNBAR ST AND W 41ST AV,https://app.vancouver.ca/vanmapmtc_net/#040750,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2001/0040750.htm
"{""coordinates"": [-123.185339038674, 49.2347662583104], ""type"": ""Point""}",DUNBAR ST AND W 41ST AV,https://app.vancouver.ca/vanmapmtc_net/#040750,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1998/0040750.htm
"{""coordinates"": [-123.185339038674, 49.2347662583104], ""type"": ""Point""}",DUNBAR ST AND W 41ST AV,https://app.vancouver.ca/vanmapmtc_net/#040750,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1996/0040750.htm
"{""coordinates"": [-123.185434194405, 49.2306467404517], ""type"": ""Point""}",DUNBAR ST AND SW MARINE DRIVE,https://app.vancouver.ca/vanmapmtc_net/#040830,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2008/0040830.htm
"{""coordinates"": [-123.185434194405, 49.2306467404517], ""type"": ""Point""}",DUNBAR ST AND SW MARINE DRIVE,https://app.vancouver.ca/vanmapmtc_net/#040830,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2006/0040830.htm
"{""coordinates"": [-123.185434194405, 49.2306467404517], ""type"": ""Point""}",DUNBAR ST AND SW MARINE DRIVE,https://app.vancouver.ca/vanmapmtc_net/#040830,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2005/0040830.htm
"{""coordinates"": [-123.185434194405, 49.2306467404517], ""type"": ""Point""}",DUNBAR ST AND SW MARINE DRIVE,https://app.vancouver.ca/vanmapmtc_net/#040830,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2003/0040830.htm
"{""coordinates"": [-123.185434194405, 49.2306467404517], ""type"": ""Point""}",DUNBAR ST AND SW MARINE DRIVE,https://app.vancouver.ca/vanmapmtc_net/#040830,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2001/0040830.htm
"{""coordinates"": [-123.185434194405, 49.2306467404517], ""type"": ""Point""}",DUNBAR ST AND SW MARINE DRIVE,https://app.vancouver.ca/vanmapmtc_net/#040830,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2000/0040830.htm
"{""coordinates"": [-123.185434194405, 49.2306467404517], ""type"": ""Point""}",DUNBAR ST AND SW MARINE DRIVE,https://app.vancouver.ca/vanmapmtc_net/#040830,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1998/0040830.htm
"{""coordinates"": [-123.185434194405, 49.2306467404517], ""type"": ""Point""}",DUNBAR ST AND SW MARINE DRIVE,https://app.vancouver.ca/vanmapmtc_net/#040830,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1996/0040830.htm
"{""coordinates"": [-123.184016013894, 49.2579127746242], ""type"": ""Point""}",DUNBAR ST AND W 16TH AV,https://app.vancouver.ca/vanmapmtc_net/#041690,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2007/0041690.htm
"{""coordinates"": [-123.184016013894, 49.2579127746242], ""type"": ""Point""}",DUNBAR ST AND W 16TH AV,https://app.vancouver.ca/vanmapmtc_net/#041690,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2004/0041690.htm
"{""coordinates"": [-123.178076880839, 49.2578171589135], ""type"": ""Point""}",BLENHEIM ST AND W 16TH AV,https://app.vancouver.ca/vanmapmtc_net/#050690,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2006/0050690.htm
"{""coordinates"": [-123.178076880839, 49.2578171589135], ""type"": ""Point""}",BLENHEIM ST AND W 16TH AV,https://app.vancouver.ca/vanmapmtc_net/#050690,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2004/0050690.htm
"{""coordinates"": [-123.178076880839, 49.2578171589135], ""type"": ""Point""}",BLENHEIM ST AND W 16TH AV,https://app.vancouver.ca/vanmapmtc_net/#050690,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2002/0050690.htm
