date,intersection,longitude,latitude,weather,type,AM_available,AM_scraped,MD_available,MD_scraped,PM_available,PM_scraped,AM_peak_hour,AM_north_bikes_vol,AM_north_peds_vol,AM_north_veh_vol,AM_east_bikes_vol,AM_east_peds_vol,AM_east_veh_vol,AM_south_bikes_vol,AM_south_peds_vol,AM_south_veh_vol,AM_west_bikes_vol,AM_west_peds_vol,AM_west_veh_vol,PM_peak_hour,PM_north_bikes_vol,PM_north_peds_vol,PM_north_veh_vol,PM_east_bikes_vol,PM_east_peds_vol,PM_east_veh_vol,PM_south_bikes_vol,PM_south_peds_vol,PM_south_veh_vol,PM_west_bikes_vol,PM_west_peds_vol,PM_west_veh_vol,MD_peak_hour,MD_north_bikes_vol,MD_north_peds_vol,MD_north_veh_vol,MD_east_bikes_vol,MD_east_peds_vol,MD_east_veh_vol,MD_south_bikes_vol,MD_south_peds_vol,MD_south_veh_vol,MD_west_bikes_vol,MD_west_peds_vol,MD_west_veh_vol
2007-03-29,BLANCA ST AND W 10TH AV,-123.215211467428,49.2639242035281,clear,Signalized,True,True,False,True,True,True,07:45 - 08:45,45,14,383,10,7,479,7,13,155,8,9,200,16:00 - 17:00,5,21,371,5,12,418,0,3,253,26,5,671,,,,,,,,,,,,,
2005-09-27,BLANCA ST AND W 10TH AV,-123.215211467428,49.2639242035281,clear,Signalized,True,True,False,True,True,True,07:55 - 08:55,86,21,367,11,17,574,34,15,328,7,17,383,16:25 - 17:25,7,23,243,13,26,427,17,30,328,131,10,646,,,,,,,,,,,,,
2003-01-16,BLANCA ST AND W 10TH AV,-123.215211467428,49.2639242035281,cloudy,Signalized,True,True,False,True,True,True,07:55 - 08:55,35,5,318,19,14,680,24,23,273,3,13,375,16:05 - 17:05,2,29,233,6,25,458,14,22,265,59,22,867,,,,,,,,,,,,,
2001-10-23,BLANCA ST AND W 10TH AV,-123.215211467428,49.2639242035281,cloudy,Signalized,True,True,False,True,True,True,07:55 - 08:55,74,17,364,22,10,684,31,22,249,5,12,438,16:25 - 17:25,9,48,283,11,25,459,11,17,265,97,12,785,,,,,,,,,,,,,
2000-11-30,BLANCA ST AND W 10TH AV,-123.215211467428,49.2639242035281,rain,Signalized,True,True,False,True,True,True,07:55 - 08:55,55,12,380,27,10,657,24,11,245,4,11,356,16:25 - 17:25,3,18,251,3,9,415,9,16,281,61,11,776,,,,,,,,,,,,,
1998-10-08,BLANCA ST AND W 10TH AV,-123.215211467428,49.2639242035281,cloudy,Signalized,True,True,False,True,True,True,07:55 - 08:55,66,28,371,32,11,799,40,7,290,4,8,424,16:25 - 17:25,13,34,304,6,20,431,13,8,301,90,19,879,,,,,,,,,,,,,
1996-09-24,BLANCA ST AND W 10TH AV,-123.215211467428,49.2639242035281,clear,Signalized,True,True,False,True,True,True,07:55 - 08:55,91,24,370,61,19,839,71,12,265,8,22,389,16:05 - 17:05,17,35,263,28,14,478,15,8,269,136,18,863,,,,,,,,,,,,,
2007-11-22,NW MARINE DRIVE AND W 4TH AV,-123.199467652982,49.268855855787,rain,Signalized,True,True,False,True,True,True,07:55 - 08:55,2,2,104,3,0,972,,0,,0,6,505,16:20 - 17:20,2,0,261,5,0,613,,,,7,19,1116,,,,,,,,,,,,,
2008-01-28,ALMA ST AND POINT GREY ROAD,-123.185566322964,49.2722682187729,clear,Signalized,True,True,True,True,False,True,07:55 - 08:55,0,3,13,2,0,692,2,3,507,1,5,42,,,,,,,,,,,,,,15:50 - 16:50,0,6,17,0,0,732,4,2,537,1,8,14
2006-01-19,ALMA ST AND POINT GREY ROAD,-123.185566322964,49.2722682187729,cloudy,Non-Signalized,True,True,False,True,True,True,07:55 - 08:55,0,8,3,6,0,558,0,4,394,2,0,46,16:05 - 17:05,0,20,8,6,0,511,1,6,476,4,16,115,,,,,,,,,,,,,
2004-01-27,ALMA ST AND POINT GREY ROAD,-123.185566322964,49.2722682187729,rain,Non-Signalized,True,True,False,True,True,True,07:55 - 08:55,0,1,4,5,1,546,4,7,502,3,11,37,16:15 - 17:15,0,2,2,1,5,326,1,13,504,3,22,82,,,,,,,,,,,,,
