Study date,Year,Project,OBJECTID,Intersection,File Name,Const_URL,FileType
2017-08-09,2017,Turning Movement Count,8848,W 1ST AV AND ONTARIO ST,ENG - TDM - TURNING MOVEMENT COUNT - ONTARIO ST & E 1ST AV - 2017-08-09,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8848/attachments/10021,xlsx
2017-02-21,2017,Turning Movement Count,8849,MACKENZIE ST AND W BROADWAY,ENG - TDM - TURNING MOVEMENT COUNT - MACKENZIE ST & W BROADWAY - 2017-02-21,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8849/attachments/10022,xlsx
2017-10-24,2017,Turning Movement Count,8850,E 4TH AV AND W 4TH AV,ENG - TDM - TURNING MOVEMENT COUNT - ONTARIO ST & E 4TH AV - 2017-10-24,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8850/attachments/10023,xlsx
2017-10-24,2017,Turning Movement Count,8851,ONTARIO ST AND E 6TH AV,ENG - TDM - TURNING MOVEMENT COUNT - ONTARIO ST & E 6TH AV - 2017-10-24,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8851/attachments/10024,xlsx
2017-08-31,2017,Turning Movement Count,8852,E 12TH AV AND MAIN ST,ENG - TDM - TURNING MOVEMENT COUNT - MAIN ST & E 12TH AV - 2017-08-31,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8852/attachments/10025,xlsx
2017-05-03,2017,Turning Movement Count,8853,ABBOTT ST AND W HASTINGS ST,ENG - TDM - TURNING MOVEMENT COUNT - ABBOTT ST & W HASTINGS ST - 2017-05-03,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8853/attachments/10026,xlsx
2017-01-10,2017,Turning Movement Count,8854,ABBOTT ST AND W PENDER ST,ENG - TDM - TURNING MOVEMENT COUNT - ABBOTT ST & W PENDER ST - 2017-01-10,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8854/attachments/10027,xlsx
2017-04-12,2017,Turning Movement Count,8855,ABBOTT ST AND W PENDER ST,ENG - TDM - TURNING MOVEMENT COUNT - ABBOTT ST & W PENDER ST - 2017-04-12,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8855/attachments/10028,xlsx
2017-03-08,2017,Turning Movement Count,8857,W BROADWAY AND ALBERTA ST,ENG - TDM - TURNING MOVEMENT COUNT - ALBERTA ST & W BROADWAY - 2017-03-08,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8857/attachments/10030,xlsx
2017-07-25,2017,Turning Movement Count,8858,ALDER ST AND W 10TH AV,ENG - TDM - TURNING MOVEMENT COUNT - ALDER ST & W 10TH AV - 2017-07-25,https://maps.vancouver.ca/server/rest/services/VanMapViewer/Traffic_and_Transportation/MapServer/16/8858/attachments/10031,xlsx
