date,intersection,weather,type,AM_available,AM_scraped,MD_available,MD_scraped,PM_available,PM_scraped,AM_peak_hour,AM_north_bikes_vol,AM_north_peds_vol,AM_north_veh_vol,AM_east_bikes_vol,AM_east_peds_vol,AM_east_veh_vol,AM_south_bikes_vol,AM_south_peds_vol,AM_south_veh_vol,AM_west_bikes_vol,AM_west_peds_vol,AM_west_veh_vol,PM_peak_hour,PM_north_bikes_vol,PM_north_peds_vol,PM_north_veh_vol,PM_east_bikes_vol,PM_east_peds_vol,PM_east_veh_vol,PM_south_bikes_vol,PM_south_peds_vol,PM_south_veh_vol,PM_west_bikes_vol,PM_west_peds_vol,PM_west_veh_vol,MD_peak_hour,MD_north_bikes_vol,MD_north_peds_vol,MD_north_veh_vol,MD_east_bikes_vol,MD_east_peds_vol,MD_east_veh_vol,MD_south_bikes_vol,MD_south_peds_vol,MD_south_veh_vol,MD_west_bikes_vol,MD_west_peds_vol,MD_west_veh_vol
2017-08-09,W 1ST AV AND ONTARIO ST,sunny,,True,True,False,True,True,True,08:00 - 09:00,102,18,37.0,108,74,186.0,249,60,45.0,79,106,143.0,16:55 - 17:55,275,78,76.0,124,146,341.0,143,95,61.0,96,143,167.0,,,,,,,,,,,,,
2017-02-21,MACKENZIE ST AND W BROADWAY,rain,,True,True,False,True,True,True,08:00 - 09:00,,79,,,10,607.0,3,84,49.0,3,6,714.0,16:45 - 17:45,,202,,8,58,696.0,3,210,58.0,8,19,662.0,,,,,,,,,,,,,
2017-10-24,E 4TH AV AND W 4TH AV,sunny,,True,True,False,True,True,True,08:00 - 09:00,,11,52.0,,47,70.0,,12,63.0,,61,35.0,16:00 - 17:00,,13,71.0,,63,84.0,,21,147.0,,64,79.0,,,,,,,,,,,,,
2017-10-24,ONTARIO ST AND E 6TH AV,sunny,,True,True,False,True,True,True,08:00 - 09:00,45,32,85.0,2,24,173.0,208,16,92.0,7,40,39.0,17:00 - 18:00,229,44,139.0,5,61,118.0,103,30,76.0,10,56,97.0,,,,,,,,,,,,,
2017-08-31,E 12TH AV AND MAIN ST,sunny,,True,True,False,True,True,True,07:55 - 08:55,4,43,548.0,2,98,1562.0,36,43,1053.0,2,38,927.0,16:40 - 17:40,33,80,1069.0,5,259,1421.0,15,109,813.0,1,213,1407.0,,,,,,,,,,,,,
2017-05-03,ABBOTT ST AND W HASTINGS ST,rain,,True,True,False,True,True,True,08:00 - 09:00,4,232,77.0,7,106,753.0,32,141,205.0,4,552,269.0,16:50 - 17:50,22,356,172.0,2,301,510.0,9,314,241.0,20,1089,829.0,,,,,,,,,,,,,
2017-01-10,ABBOTT ST AND W PENDER ST,snow,,True,True,False,True,True,True,08:00 - 09:00,1,195,145.0,9,118,290.0,11,155,195.0,11,711,323.0,16:30 - 17:30,23,408,207.0,3,414,317.0,4,244,203.0,12,689,581.0,,,,,,,,,,,,,
2017-04-12,ABBOTT ST AND W PENDER ST,rain,,True,True,False,True,True,True,08:00 - 09:00,2,89,110.0,32,197,629.0,40,231,327.0,8,473,252.0,17:00 - 18:00,22,217,144.0,18,455,439.0,18,428,291.0,31,815,508.0,,,,,,,,,,,,,
2017-03-08,W BROADWAY AND ALBERTA ST,partly cloudy,,True,True,False,True,True,True,08:00 - 09:00,,88,22.0,1,,1676.0,,77,21.0,,1,733.0,16:35 - 17:35,,1,44.0,4,1,1074.0,,220,46.0,9,,1123.0,,,,,,,,,,,,,
2017-07-25,ALDER ST AND W 10TH AV,partly cloudy,,True,True,False,True,True,True,07:55 - 08:55,4,58,32.0,107,46,20.0,71,45,41.0,141,37,28.0,17:00 - 18:00,13,48,114.0,212,45,27.0,27,54,59.0,171,50,59.0,,,,,,,,,,,,,
