Geom;INTERSECTION;URL
"{""coordinates"": [-123.215211467428, 49.2639242035281], ""type"": ""Point""}";BLANCA ST AND W 10TH AV;https://app.vancouver.ca/vanmapmtc_net/#020670
"{""coordinates"": [-123.199467652982, 49.268855855787], ""type"": ""Point""}";NW MARINE DRIVE AND W 4TH AV;https://app.vancouver.ca/vanmapmtc_net/#030640
"{""coordinates"": [-123.185566322964, 49.2722682187729], ""type"": ""Point""}";ALMA ST AND POINT GREY ROAD;https://app.vancouver.ca/vanmapmtc_net/#040630
"{""coordinates"": [-123.185856787137, 49.2643642594489], ""type"": ""Point""}";ALMA ST AND W BROADWAY;https://app.vancouver.ca/vanmapmtc_net/#040650
"{""coordinates"": [-123.185339038674, 49.2347662583104], ""type"": ""Point""}";DUNBAR ST AND W 41ST AV;https://app.vancouver.ca/vanmapmtc_net/#040750
"{""coordinates"": [-123.185434194405, 49.2306467404517], ""type"": ""Point""}";DUNBAR ST AND SW MARINE DRIVE;https://app.vancouver.ca/vanmapmtc_net/#040830
"{""coordinates"": [-123.184016013894, 49.2579127746242], ""type"": ""Point""}";DUNBAR ST AND W 16TH AV;https://app.vancouver.ca/vanmapmtc_net/#041690
"{""coordinates"": [-123.178076880839, 49.2578171589135], ""type"": ""Point""}";BLENHEIM ST AND W 16TH AV;https://app.vancouver.ca/vanmapmtc_net/#050690
"{""coordinates"": [-123.178659121451, 49.242346200418], ""type"": ""Point""}";BLENHEIM ST AND W 33RD AV;https://app.vancouver.ca/vanmapmtc_net/#050730
"{""coordinates"": [-123.178731666949, 49.2301481182812], ""type"": ""Point""}";BLENHEIM ST AND SW MARINE DRIVE;https://app.vancouver.ca/vanmapmtc_net/#050830
"{""coordinates"": [-123.175910539276, 49.2642049121412], ""type"": ""Point""}";TRUTCH ST AND W BROADWAY;https://app.vancouver.ca/vanmapmtc_net/#053650
"{""coordinates"": [-123.172087664044, 49.2500088670429], ""type"": ""Point""}";QUESNEL DRIVE AND W KING EDWARD AV;https://app.vancouver.ca/vanmapmtc_net/#060710
"{""coordinates"": [-123.172073758969, 49.2632635246533], ""type"": ""Point""}";CARNARVON ST AND W 10TH AV;https://app.vancouver.ca/vanmapmtc_net/#061670
"{""coordinates"": [-123.168207540347, 49.2714216378512], ""type"": ""Point""}";MACDONALD ST AND POINT GREY ROAD;https://app.vancouver.ca/vanmapmtc_net/#070630
"{""coordinates"": [-123.168312499747, 49.268368020565], ""type"": ""Point""}";MACDONALD ST AND W 4TH AV;https://app.vancouver.ca/vanmapmtc_net/#070640
"{""coordinates"": [-123.168174244326, 49.264070415283], ""type"": ""Point""}";MACDONALD ST AND W BROADWAY;https://app.vancouver.ca/vanmapmtc_net/#070650
"{""coordinates"": [-123.168128771331, 49.2622783764467], ""type"": ""Point""}";MACDONALD ST AND KITSILANO DIVERSION;https://app.vancouver.ca/vanmapmtc_net/#070670
"{""coordinates"": [-123.167880280354, 49.248088207863], ""type"": ""Point""}";MACDONALD ST AND PUGET DRIVE;https://app.vancouver.ca/vanmapmtc_net/#070710
"{""coordinates"": [-123.164773308034, 49.2611888692219], ""type"": ""Point""}";TRAFALGAR ST AND W 12TH AV;https://app.vancouver.ca/vanmapmtc_net/#073670
"{""coordinates"": [-123.152927548017, 49.263828567233], ""type"": ""Point""}";ARBUTUS ST AND W BROADWAY;https://app.vancouver.ca/vanmapmtc_net/#090650
"{""coordinates"": [-123.153343461514, 49.2452031912037], ""type"": ""Point""}";ARBUTUS ST AND VALLEY DRIVE;https://app.vancouver.ca/vanmapmtc_net/#090722
"{""coordinates"": [-123.153459634247, 49.242100198941], ""type"": ""Point""}";ARBUTUS ST AND W 33RD AV;https://app.vancouver.ca/vanmapmtc_net/#090730
"{""coordinates"": [-123.15515213722, 49.2271583096935], ""type"": ""Point""}";WEST BOULEVARD AND W 49TH AV;https://app.vancouver.ca/vanmapmtc_net/#090790
"{""coordinates"": [-123.148484634082, 49.2132769185798], ""type"": ""Point""}";ANGUS DRIVE AND W 64TH AV;https://app.vancouver.ca/vanmapmtc_net/#090823
"{""coordinates"": [-123.148239503921, 49.2090182809583], ""type"": ""Point""}";ANGUS DRIVE AND SW MARINE DRIVE;https://app.vancouver.ca/vanmapmtc_net/#090830
"{""coordinates"": [-123.147802735762, 49.2724628093381], ""type"": ""Point""}";CYPRESS ST AND CORNWALL AV;https://app.vancouver.ca/vanmapmtc_net/#097630
"{""coordinates"": [-123.147966636751, 49.2680536328042], ""type"": ""Point""}";CYPRESS ST AND W 4TH AV;https://app.vancouver.ca/vanmapmtc_net/#097640
"{""coordinates"": [-123.14936502531, 49.2307628899848], ""type"": ""Point""}";CYPRESS ST AND W 45TH AV;https://app.vancouver.ca/vanmapmtc_net/#097758
"{""coordinates"": [-123.13374007094, 49.2925946723086], ""type"": ""Point""}";DENMAN ST AND W GEORGIA ST;https://app.vancouver.ca/vanmapmtc_net/#110600
"{""coordinates"": [-123.134371606614, 49.292180403978], ""type"": ""Point""}";DENMAN ST AND ALBERNI ST;https://app.vancouver.ca/vanmapmtc_net/#110601
"{""coordinates"": [-123.138621291478, 49.289365435885], ""type"": ""Point""}";DENMAN ST AND NELSON ST;https://app.vancouver.ca/vanmapmtc_net/#110606
"{""coordinates"": [-123.141809607965, 49.2872536194767], ""type"": ""Point""}";DENMAN ST AND DAVIE ST;https://app.vancouver.ca/vanmapmtc_net/#110612
"{""coordinates"": [-123.142375266764, 49.2868790216579], ""type"": ""Point""}";DENMAN ST AND BEACH AV;https://app.vancouver.ca/vanmapmtc_net/#110617
"{""coordinates"": [-123.102209901362, 49.2760606702897], ""type"": ""Point""}";QUEBEC ST AND PACIFIC BOULEVARD;https://app.vancouver.ca/vanmapmtc_net/#111001
"{""coordinates"": [-123.128866203064, 49.2886175797536], ""type"": ""Point""}";BROUGHTON ST AND ALBERNI ST;https://app.vancouver.ca/vanmapmtc_net/#116601
"{""coordinates"": [-123.124910037044, 49.2894316374984], ""type"": ""Point""}";JERVIS ST AND W HASTINGS ST;https://app.vancouver.ca/vanmapmtc_net/#117590
"{""coordinates"": [-123.138120118754, 49.2806896774503], ""type"": ""Point""}";JERVIS ST AND PACIFIC ST;https://app.vancouver.ca/vanmapmtc_net/#117616
"{""coordinates"": [-123.125916241752, 49.2867085005403], ""type"": ""Point""}";BUTE ST AND ALBERNI ST;https://app.vancouver.ca/vanmapmtc_net/#118601
"{""coordinates"": [-123.126979737144, 49.2860047424628], ""type"": ""Point""}";BUTE ST AND ROBSON ST;https://app.vancouver.ca/vanmapmtc_net/#118602
"{""coordinates"": [-123.119139467411, 49.2883589806411], ""type"": ""Point""}";THURLOW ST AND W CORDOVA ST;https://app.vancouver.ca/vanmapmtc_net/#119589
"{""coordinates"": [-123.119783775682, 49.2879333983664], ""type"": ""Point""}";THURLOW ST AND W HASTINGS ST;https://app.vancouver.ca/vanmapmtc_net/#119590
"{""coordinates"": [-123.12312337392, 49.2857244914747], ""type"": ""Point""}";THURLOW ST AND W GEORGIA ST;https://app.vancouver.ca/vanmapmtc_net/#119600
"{""coordinates"": [-123.125879717617, 49.2839009035458], ""type"": ""Point""}";THURLOW ST AND HARO ST;https://app.vancouver.ca/vanmapmtc_net/#119603
"{""coordinates"": [-123.117023469563, 49.2871228036372], ""type"": ""Point""}";BURRARD ST AND W HASTINGS ST;https://app.vancouver.ca/vanmapmtc_net/#120590
