,date,weather,type,AM peak_hour,AM north_bikes_vol,AM north_peds_vol,AM north_veh_vol,PM peak_hour,PM north_bikes_vol,PM north_peds_vol,PM north_veh_vol,INTERSECTION,Sub_URL
0,2007-03-29,CLEAR,Signalized,07:45 - 08:45,45,14,383,16:00 - 17:00,5,21,371,BLANCA ST AND W 10TH AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2007/0020670.htm
1,2005-09-27,CLEAR,Signalized,07:55 - 08:55,86,21,367,16:25 - 17:25,7,23,243,BLANCA ST AND W 10TH AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2005/0020670.htm
2,2003-01-16,CLOUDY,Signalized,07:55 - 08:55,35,5,318,16:05 - 17:05,2,29,233,BLANCA ST AND W 10TH AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2003/0020670.htm
3,2001-10-23,CLOUDY,Signalized,07:55 - 08:55,74,17,364,16:25 - 17:25,9,48,283,BLANCA ST AND W 10TH AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2001/0020670.htm
4,2000-11-30,rain,Signalized,07:55 - 08:55,55,12,380,16:25 - 17:25,3,18,251,BLANCA ST AND W 10TH AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2000/0020670.htm
5,1998-10-08,CLOUDY,Signalized,07:55 - 08:55,66,28,371,16:25 - 17:25,13,34,304,BLANCA ST AND W 10TH AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1998/0020670.htm
6,1996-09-24,CLEAR,Signalized,07:55 - 08:55,91,24,370,16:05 - 17:05,17,35,263,BLANCA ST AND W 10TH AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1996/0020670.htm
7,2007-11-22,RAIN,Signalized,07:55 - 08:55,2,2,104,16:20 - 17:20,2,0,261,NW MARINE DRIVE AND W 4TH AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2007/0030640.htm
8,2008-01-28,CLEAR,Signalized,07:55 - 08:55,0,3,13,15:50 - 16:50,0,6,17,ALMA ST AND POINT GREY ROAD,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2008/0040630.htm
9,2006-01-19,CLOUDY,Non-Signalized,07:55 - 08:55,0,8,3,16:05 - 17:05,0,20,8,ALMA ST AND POINT GREY ROAD,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2006/0040630.htm
10,2004-01-27,RAIN,Non-Signalized,07:55 - 08:55,0,1,4,16:15 - 17:15,0,2,2,ALMA ST AND POINT GREY ROAD,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2004/0040630.htm
11,2003-07-30,CLEAR,Non-Signalized,07:55 - 08:55,1,16,15,11:55 - 12:55,1,17,12,ALMA ST AND POINT GREY ROAD,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2003/0040630.htm
12,1996-10-04,RAIN,Non-Signalized,07:40 - 08:40,0,5,7,16:25 - 17:25,0,28,11,ALMA ST AND POINT GREY ROAD,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1996/0040630.htm
13,2007-11-01,CLEAR,Signalized,07:35 - 08:35,6,26,455,15:35 - 16:35,2,90,518,ALMA ST AND W BROADWAY,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2007/0040650.htm
14,2005-02-11,CLEAR,Signalized,07:50 - 08:50,1,14,427,15:30 - 16:30,11,79,658,ALMA ST AND W BROADWAY,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2005/0040650.htm
15,2002-09-11,CLOUDY,Signalized,07:50 - 08:50,6,25,462,15:35 - 16:35,5,55,610,ALMA ST AND W BROADWAY,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2002/0040650.htm
16,1998-10-26,RAIN,Signalized,07:45 - 08:45,8,25,455,15:35 - 16:35,12,58,544,ALMA ST AND W BROADWAY,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1998/0040650.htm
17,1996-09-16,CLOUDY,Signalized,07:50 - 08:50,11,14,505,16:10 - 17:10,10,42,593,ALMA ST AND W BROADWAY,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1996/0040650.htm
18,2005-03-30,CLEAR,Signalized,09:30 - 10:30,1,53,369,13:10 - 14:10,3,49,397,DUNBAR ST AND W 41ST AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2005/0040750.htm
19,2003-01-30,CLOUDY,Signalized,07:55 - 08:55,1,16,701,16:25 - 17:25,0,17,541,DUNBAR ST AND W 41ST AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2003/0040750.htm
20,2001-10-23,CLEAR,Signalized,07:30 - 08:30,3,49,649,16:25 - 17:25,0,79,517,DUNBAR ST AND W 41ST AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2001/0040750.htm
21,1998-10-27,CLOUDY,Signalized,07:35 - 08:35,3,44,767,15:40 - 16:40,7,80,522,DUNBAR ST AND W 41ST AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1998/0040750.htm
22,1996-09-17,CLOUDY,Signalized,07:40 - 08:40,5,24,734,16:05 - 17:05,3,70,549,DUNBAR ST AND W 41ST AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1996/0040750.htm
23,2008-01-31,RAIN,Signalized,07:45 - 08:45,1,0,361,16:10 - 17:10,0,1,353,DUNBAR ST AND SW MARINE DRIVE,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2008/0040830.htm
24,2006-10-26,RAIN,Signalized,07:20 - 08:20,1,0,371,15:30 - 16:30,0,2,382,DUNBAR ST AND SW MARINE DRIVE,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2006/0040830.htm
25,2005-04-01,CLOUDY,Signalized,10:20 - 11:20,0,3,293,13:25 - 14:25,1,2,262,DUNBAR ST AND SW MARINE DRIVE,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2005/0040830.htm
26,2003-02-06,CLOUDY,Signalized,07:55 - 08:55,0,2,502,16:25 - 17:25,1,5,321,DUNBAR ST AND SW MARINE DRIVE,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2003/0040830.htm
27,2001-10-22,RAIN,Signalized,07:55 - 08:55,1,3,387,16:25 - 17:25,0,2,263,DUNBAR ST AND SW MARINE DRIVE,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2001/0040830.htm
28,2000-09-21,CLOUDY,Signalized,07:45 - 08:45,5,4,458,15:30 - 16:30,1,5,333,DUNBAR ST AND SW MARINE DRIVE,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2000/0040830.htm
29,1998-10-23,CLEAR,Signalized,07:25 - 08:25,0,1,403,16:25 - 17:25,0,1,298,DUNBAR ST AND SW MARINE DRIVE,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1998/0040830.htm
30,1996-09-19,CLOUDY,Signalized,07:25 - 08:25,3,2,423,15:30 - 16:30,0,4,289,DUNBAR ST AND SW MARINE DRIVE,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/1996/0040830.htm
31,2007-01-23,RAIN,Signalized,07:55 - 08:55,0,0,397,15:35 - 16:35,1,14,544,DUNBAR ST AND W 16TH AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2007/0041690.htm
32,2004-06-23,CLOUDY,Signalized,07:55 - 08:55,2,12,377,16:25 - 17:25,1,15,619,DUNBAR ST AND W 16TH AV,https://app.vancouver.ca/vanmapmtc_net/diagrams/reports/2004/0041690.htm
